Lat,Lon,source
22.884901,120.19819,gbif
23.118942,120.124535,gbif
23.02728,120.16622,gbif
23.364443,120.17398,gbif
23.146975,120.12537,gbif
24.83647,121.811356,gbif
23.046816,120.105,gbif
23.059254,120.14644,gbif
23.332972,120.184425,gbif
23.37862,120.17436,gbif
23.26922,120.10154,gbif
23.323788,120.142235,gbif
22.45974,114.03684,gbif
22.959015,120.18379,gbif
22.515457,113.95801,gbif
23.340738,120.16125,gbif
22.834095,120.212715,gbif
23.785261,120.229454,gbif
23.500423,120.13579,gbif
23.567566,120.16014,gbif
22.431969,120.49596,gbif
23.495245,120.12165,gbif
23.493502,120.12208,gbif
23.05447,120.10784,gbif
22.49418,114.03655,gbif
23.337334,120.164116,gbif
23.20552,120.10296,gbif
23.364443,120.17398,gbif
24.463182,118.30095,gbif
23.32689,120.170685,gbif
23.107937,120.089806,gbif
24.02748,120.37864,gbif
23.468002,120.16669,gbif
22.45974,114.03684,gbif
23.358416,120.16768,gbif
23.349846,120.179016,gbif
23.500423,120.13579,gbif
22.884901,120.19819,gbif
24.803747,121.80181,gbif
23.221233,120.21184,gbif
23.334074,120.16891,gbif
23.360529,120.14344,gbif
22.45974,114.03684,gbif
23.117754,120.08712,gbif
23.257792,120.10684,gbif
23.052217,120.1255,gbif
23.500423,120.13579,gbif
23.500423,120.13579,gbif
24.815067,121.801895,gbif
23.494173,120.15085,gbif
23.364443,120.17398,gbif
23.04495,120.1105,gbif
23.493502,120.12208,gbif
23.11705,120.10884,gbif
23.25264,120.16798,gbif
22.443796,120.49099,gbif
23.347021,120.18465,gbif
23.34249,120.151955,gbif
23.334074,120.16891,gbif
23.152403,120.13519,gbif
23.559727,120.16591,gbif
23.943762,120.31861,gbif
23.53337,120.15952,gbif
23.868729,120.28243,gbif
23.277393,120.16547,gbif
23.500423,120.13579,gbif
23.364443,120.17398,gbif
22.428463,120.50087,gbif
23.161156,120.12471,gbif
23.868729,120.28243,gbif
22.70874,121.103714,gbif
23.557106,120.14488,gbif
23.943762,120.31861,gbif
23.364443,120.17398,gbif
23.005646,120.1646,gbif
23.340738,120.16125,gbif
28.9484,116.35697,gbif
23.785261,120.229454,gbif
24.4304,118.24637,gbif
23.029572,120.11202,gbif
23.01492,120.18128,gbif
23.813555,120.23807,gbif
23.155006,120.12752,gbif
23.494173,120.15085,gbif
23.20552,120.10296,gbif
23.018476,120.17835,gbif
23.32689,120.170685,gbif
23.20552,120.10296,gbif
24.81403,121.80388,gbif
23.321577,120.170715,gbif
23.248625,120.10638,gbif
24.83647,121.811356,gbif
23.053158,120.12687,gbif
26.8269,120.06137,gbif
22.508831,114.113335,gbif
23.205599,120.129326,gbif
22.508831,114.113335,gbif
23.500423,120.13579,gbif
23.358416,120.16768,gbif
23.872562,120.30069,gbif
24.476171,118.30999,gbif
23.978752,120.33801,gbif
23.34249,120.151955,gbif
23.500423,120.13579,gbif
22.439035,120.4894,gbif
23.340738,120.16125,gbif
23.364443,120.17398,gbif
23.169125,120.10652,gbif
23.358416,120.16768,gbif
22.49418,114.03655,gbif
22.494017,114.04039,gbif
22.508831,114.113335,gbif
22.439035,120.4894,gbif
24.476171,118.30999,gbif
23.047037,120.11664,gbif
25.167297,121.41681,gbif
23.206758,120.09906,gbif
30.920507,121.97316,gbif
23.493376,120.16333,gbif
22.514433,114.03191,gbif
23.164127,120.11317,gbif
22.49418,114.03655,gbif
23.495998,120.175446,gbif
23.040167,120.17058,gbif
23.058664,120.103226,gbif
23.018476,120.17835,gbif
23.359104,120.14622,gbif
25.115536,121.47126,gbif
24.953508,118.67512,gbif
22.440025,120.4952,gbif
23.494173,120.15085,gbif
30.920507,121.97316,gbif
23.02861,120.16128,gbif
23.044733,120.09812,gbif
22.884901,120.19819,gbif
24.83647,121.811356,gbif
23.34249,120.151955,gbif
23.245632,120.13636,gbif
23.127281,120.116394,gbif
22.508831,114.113335,gbif
23.334074,120.16891,gbif
23.500423,120.13579,gbif
23.37862,120.17436,gbif
23.03547,120.09889,gbif
23.385576,120.17522,gbif
22.884901,120.19819,gbif
24.022142,120.377464,gbif
22.499132,114.02755,gbif
24.015186,120.37167,gbif
23.32563,120.1285,gbif
23.32689,120.170685,gbif
23.372488,120.16281,gbif
24.4304,118.24637,gbif
23.351664,120.15205,gbif
23.125305,120.12364,gbif
23.02728,120.16622,gbif
23.531872,120.2098,gbif
23.575043,120.16927,gbif
22.429996,120.50201,gbif
23.364443,120.17398,gbif
22.45974,114.03684,gbif
35.309902,119.44555,gbif
23.044548,120.079666,gbif
23.20552,120.10296,gbif
23.340021,120.150764,gbif
22.49418,114.03655,gbif
23.586557,120.156136,gbif
23.009865,120.14492,gbif
23.253494,120.10879,gbif
22.884901,120.19819,gbif
23.500423,120.13579,gbif
23.495245,120.12165,gbif
22.439035,120.4894,gbif
23.34249,120.151955,gbif
23.340473,120.161934,gbif
23.03609,120.17585,gbif
23.02535,120.17579,gbif
22.959015,120.18379,gbif
23.03494,120.114525,gbif
23.372488,120.16281,gbif
23.32382,120.12027,gbif
23.04495,120.1105,gbif
23.064306,120.08794,gbif
23.168573,120.11783,gbif
23.098183,120.05781,gbif
24.81403,121.80388,gbif
23.52423,120.20836,gbif
23.32382,120.12027,gbif
23.02861,120.16128,gbif
24.82462,121.7966,gbif
23.32689,120.170685,gbif
23.34249,120.151955,gbif
23.334074,120.16891,gbif
22.884901,120.19819,gbif
22.884901,120.19819,gbif
22.537516,114.09057,gbif
23.358416,120.16768,gbif
23.117754,120.08712,gbif
23.340738,120.16125,gbif
23.334074,120.16891,gbif
23.036575,120.10587,gbif
23.872562,120.30069,gbif
23.27643,120.14985,gbif
24.803747,121.80181,gbif
